SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,Solubility_mg_L
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,349.41200000000015,0.3181000000000002,89.02890000000004,24.0,5.0,3.0,8.0,4.0,128.0,1.0,2.0,2.0,3.0,112.73,143.12065858492133,1.7112933155712993,693.8227554205865,10099.999999404072
COC1=CC=C2C=C(C(C)C(=O)OCC(C)O)C=CC2=C1,288.343,2.875900000000001,81.55480000000004,21.0,4.0,1.0,4.0,5.0,112.0,2.0,0.0,0.0,2.0,55.76000000000001,123.85050876326191,2.196246882484603,633.7227546470998,141.22429411315588
OC(O)=C1OC(=CC(=O)C1=O)C(O)=O,200.102,-0.5915999999999999,39.1014,14.0,6.0,3.0,7.0,1.0,74.0,0.0,0.0,1.0,1.0,121.13,76.52467928253769,3.1865011781718486,382.8424910217124,8399.461221456864
CC(=C)C(=O)OCc1ccccc1,176.215,2.3059000000000003,51.05200000000003,13.0,2.0,0.0,2.0,3.0,68.0,1.0,0.0,0.0,1.0,26.3,77.84157798884641,2.442561320452449,301.1261344832696,189.6000000092962
[Na+].[Na+].[Na+].[Na+].OCCN(CCO)c1nc(Nc2ccc(cc2)[S]([O-])(=O)=O)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccc(cc6)[S]([O-])(=O)=O)nc(n5)N(CCO)CCO)c(c4)[S]([O-])(=O)=O)cc3[S]([O-])(=O)=O)n1,1165.0559999999996,-11.584200000000038,252.1027999999997,76.0,28.0,8.0,36.0,24.0,384.0,6.0,0.0,0.0,6.0,441.66,524.058773761911,4.940825005477092e-06,3181.666312394562,399999.9999910475
O=C(Cc1ccccc1)OCc2ccccc2,226.275,2.972500000000001,66.38400000000004,17.0,2.0,0.0,2.0,4.0,86.0,2.0,0.0,0.0,2.0,26.3,100.85839099830147,1.825663184229424,462.7951975036604,31.00000000231375
Nc1ccccc1C(F)(F)F,161.12599999999995,2.2876000000000003,35.85640000000001,11.0,1.0,1.0,4.0,0.0,60.0,1.0,0.0,0.0,1.0,26.02,61.63284213968499,3.1411091905317954,254.10775327612689,3399.99999999531
CN(C)CCOC(=O)C=C,143.18599999999995,0.2771999999999999,39.71,10.0,3.0,0.0,3.0,4.0,58.0,0.0,0.0,0.0,0.0,29.54,61.27420168177896,3.1948650246270067,120.77451436272594,240000.0000148432
Clc1cnc2cncnc2n1,166.57099999999997,1.0731999999999997,40.13800000000001,11.0,4.0,0.0,5.0,0.0,54.0,2.0,0.0,0.0,2.0,51.56,67.29492580189991,2.8289012156206965,388.9939963432252,22217.7150767062
CCC(CC)(C(=O)NC(N)=O)C(=O)OCOC,246.26299999999992,0.1348000000000001,58.70910000000003,17.0,5.0,2.0,7.0,6.0,98.0,0.0,0.0,0.0,0.0,107.72,99.62513969716484,4.933784495489117,299.07138261445647,1664.9422176895555
Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,184.107,1.2086000000000003,41.41560000000001,13.0,5.0,1.0,7.0,2.0,68.0,1.0,0.0,0.0,1.0,106.51,71.53158831669259,3.263407613099897,343.037402549959,4000.094959370674
[O-][N+](=O)c1ccc2NC(=O)Nc2c1,179.135,0.7643999999999997,45.5738,13.0,3.0,2.0,6.0,1.0,66.0,2.0,0.0,0.0,2.0,91.79,71.35637387573655,2.7435199944853146,525.0074434240122,95.30000000456216
[Fe+3].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,399.8790000000001,-4.018999999999999,31.4238,17.0,12.0,0.0,17.0,0.0,106.0,0.0,0.0,0.0,0.0,240.78,117.47283267981686,-3.99999998625e-08,340.6558969276571,4399999.999864862
C=CCO[P](=O)(OCC=C)c1ccccc1,238.223,2.910200000000001,65.98050000000003,16.0,3.0,0.0,4.0,7.0,86.0,1.0,0.0,0.0,1.0,35.53,95.93188061686972,2.894366273611781,370.5101632496788,299.9740520003349
N#CC1=C(C=CC=C1)C#N,128.13399999999996,1.42996,35.87200000000001,10.0,2.0,0.0,2.0,0.0,46.0,1.0,0.0,0.0,1.0,47.58,58.94644671122761,3.284977738882917,281.76485559073006,534.1514158158795
C=CCOc1nc(OCC=C)nc(OCC=C)n1,249.27,1.5659999999999998,66.90300000000002,18.0,6.0,0.0,6.0,9.0,96.0,1.0,0.0,0.0,1.0,66.36,105.6466526838738,2.829276282059777,346.7764449018368,332.99999998634433
[Na+].[O-][V](=O)=O,121.929,-4.425100000000001,1.3730000000000002,5.0,3.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,57.2,56.0284921282132,0.0,55.2933148700206,225199.9999859444
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,262.309,1.4952,67.93640000000002,19.0,3.0,2.0,5.0,2.0,102.0,0.0,2.0,3.0,3.0,75.27000000000002,111.36069268956088,2.0285817086278253,474.91954501412886,528.217994257153
COC1=CC2=C(SC3=C(C=CC=C3)N2CC(C)CN(C)C)C=C1,328.4810000000001,4.495600000000004,98.28300000000004,23.0,4.0,0.0,4.0,5.0,122.0,2.0,0.0,1.0,3.0,15.71,142.79358356808686,1.9870942688955264,686.8198722645237,14.012326691546598
Fc1ccc(I)cc1,222.0,2.430300000000001,39.11700000000001,8.0,0.0,0.0,2.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,60.85877664346682,3.0324555320336755,147.38833891467198,166.20840216445117
CC(=C)C1(O)[C@H]2OC(=O)[C@@H]1[C@]3(O)[C@H]4O[C@H]4[C@]5(CO5)[C@]3(C)[C@@H]2O,310.302,-1.5028999999999997,69.54140000000004,22.0,7.0,3.0,7.0,1.0,120.0,0.0,5.0,5.0,5.0,112.05,126.01454087470408,1.7928474592203694,641.8022207092023,11797.353005706282
c1cc(O)c2C(=O)C3=C(O)C4(O)C(=O)C(C(=O)N)=C(O)C(N(C)C)C4CC3C(O)c2c1Cl,,,,,,,,,,,,,,,,,,
[C-]#[O+],28.01,-0.03751,3.9295,2.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,19.9,12.61969834340442,3.0,6.754887502163467,33.00000000347107
C1COc2ccccc2OCCOCCOc3ccccc3OCCO1,360.40600000000006,2.948800000000001,96.50200000000004,26.0,6.0,0.0,6.0,0.0,140.0,2.0,0.0,1.0,3.0,55.38000000000001,153.08347446424597,1.558694870332623,548.7545953273558,7.299481503973605
Cc1cc(O)c(cc1Cl)C(O)=O,186.594,2.05222,44.81310000000001,12.0,2.0,2.0,4.0,1.0,64.0,1.0,0.0,0.0,1.0,57.53,74.21454317960766,3.3258841466405986,333.3200121526738,139.99021312976527
C1C[N+]2(CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75)O,351.42600000000016,1.9965,93.61690000000006,26.0,3.0,1.0,5.0,0.0,134.0,1.0,4.0,6.0,7.0,49.77,151.93392329031315,1.5645079076489008,896.9973135338852,18443.098652573663
Clc1cc(Cl)c(cc1OCC#C)N2N=C3CCCCN3C2=O,338.19400000000013,2.6891000000000007,85.11000000000003,22.0,5.0,0.0,7.0,3.0,114.0,2.0,0.0,1.0,3.0,49.05,136.954939072484,2.1020456381869006,817.415769604436,15.998007585811848
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,275.17900000000003,4.2572000000000045,73.01870000000005,17.0,1.0,1.0,5.0,4.0,94.0,1.0,0.0,0.0,1.0,32.34,111.69880621349512,2.579597123413285,396.09206045906114,4.799713206520732
CCONC(=O)C1=CN(C)C(=O)C(=C1NC2=C(F)C=C(Br)C=C2)C,398.232,3.020220000000001,92.8949,24.0,5.0,2.0,8.0,5.0,128.0,2.0,0.0,0.0,2.0,72.36,146.2662626699419,2.5197260829051182,836.0478403098894,60.27485230872483
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Nc2ccc(N)cc2,461.1080000000002,0.7899799999999995,103.7273,27.0,6.0,2.0,11.0,1.0,140.0,2.0,0.0,0.0,2.0,125.19,198.7280547776853,0.0,791.2834016058565,0.2279999999909663
CC(COC(C)=O)OC(C)=O,160.16899999999995,0.5011000000000001,37.861,11.0,4.0,0.0,4.0,3.0,64.0,0.0,0.0,0.0,0.0,52.6,65.47903837331049,3.4425479949638413,152.51956340253028,99995.04130090936
CCCCCCCCNC(=O)c1cccnc1,234.343,3.1719000000000017,69.94620000000005,17.0,2.0,1.0,3.0,8.0,94.0,1.0,0.0,0.0,1.0,41.99,103.64691441366476,2.0509082896491506,311.258065344895,230.01278971106348
CCC(C)=C,70.13499999999999,1.9725,25.10499999999999,5.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,33.50941645323173,2.847378923087672,35.302968908806456,130.38715261072088
OC(=O)C1=CC=CC=C1NC2=CC=CC=C2,213.236,3.1284000000000014,63.12600000000002,16.0,2.0,2.0,3.0,3.0,80.0,2.0,0.0,0.0,2.0,49.33,93.35905747580544,2.314817218585019,494.2955976569277,2.338086246327882
[O-][N+](=O)c1ncn(CC(=O)Nc2cc(ccc2Cl)C(F)(F)F)n1,349.656,2.4972000000000003,71.76010000000002,23.0,6.0,1.0,12.0,4.0,122.0,2.0,0.0,0.0,2.0,102.95,130.5744375484702,2.1149195974201005,761.605613779002,0.3762999999941206
C[S](=O)(=O)N(SC(Cl)(Cl)C(F)(Cl)Cl)c1ccccc1,387.112,4.333100000000003,81.33780000000002,19.0,3.0,0.0,10.0,5.0,108.0,1.0,0.0,0.0,1.0,37.38,134.68392687175188,3.165799885045667,532.9006318339561,2.75002495050184
[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(Br)C(=O)C(=C3Oc4c(Br)c([O-])c(Br)cc24)Br,691.8590000000003,-0.940099999999997,119.1185,31.0,5.0,0.0,11.0,2.0,146.0,2.0,0.0,2.0,4.0,93.4,253.58454125437044,1.7066658961336926e-06,1370.3932417950364,100000.00000036284
FC(Cl)Cl,102.923,1.7171,16.602,4.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,33.51131888451913,2.3237900077244498,10.75488750216347,18802.363155268908
CCCCC(CC)COC(C)=O,172.26799999999997,2.765900000000001,49.93900000000003,12.0,2.0,0.0,2.0,6.0,72.0,0.0,0.0,0.0,0.0,26.3,75.29879738694966,3.453466338342537,121.0069869280358,3.900000000361503
CCC(O)CCC(C)C,130.231,2.1935,40.36980000000001,9.0,1.0,1.0,1.0,4.0,56.0,0.0,0.0,0.0,0.0,20.23,58.08807958080181,3.0608205611627874,59.58797503894244,1539.977499268621
CC(C)CCCCCCCCOCCCNCCC#N,282.472,4.283080000000004,85.69270000000007,20.0,3.0,1.0,3.0,15.0,118.0,0.0,0.0,0.0,0.0,45.05,125.63431195275896,2.943494389636278,223.52011862678,67.99999999985577
CCOC1=NO[N+](=C1S(=O)(=O)C2=CC=CC=C2)[O-],270.266,0.5395,58.52580000000002,18.0,6.0,0.0,8.0,4.0,96.0,2.0,0.0,0.0,2.0,96.34,103.05190674142553,2.5790241116799777,635.5425798551978,15.5521850104364
[Na+].[O-][S](=O)(=O)c1ccc(C=C)cc1,206.198,-1.7622999999999984,44.496200000000016,13.0,3.0,0.0,5.0,2.0,64.0,1.0,0.0,0.0,1.0,57.2,99.51371994885852,1.4399996634000815e-06,380.35509562835625,191000.0000077986
CC(C)C1=NN(C(=O)NC(C)(C)C)C(=O)N1N,241.295,0.2382000000000007,64.40910000000002,17.0,6.0,2.0,7.0,1.0,96.0,1.0,0.0,0.0,1.0,94.94,99.5707260601158,3.1237094952308486,477.86618958429017,4609.9999996718525
CCCCCCO[N+]([O-])=O,147.174,1.775,37.0884,10.0,3.0,0.0,4.0,6.0,60.0,0.0,0.0,0.0,0.0,52.37,60.28452105129725,2.8385891218139165,94.993718459691,109.9844009284669
[Na+].[Na+].[Na+].CC(=O)C(N=Nc1ccc(cc1)N=Nc2c(N)c3c(cc2[S]([O-])(=O)=O)C=C(\C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C3=O)[S]([O-])(=O)=O)C(=O)Nc6ccccc6,926.8110000000004,-4.111899999999993,208.4658999999997,62.0,19.0,3.0,26.0,12.0,302.0,5.0,0.0,1.0,6.0,334.6899999999999,419.3177554565746,3.413328114986169e-06,3061.4382676843907,5609.999999789899
CCCC(O)CCC,116.204,1.9475,35.822799999999994,8.0,1.0,1.0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,20.23,51.72313746640521,2.9196126414385533,37.65148445440323,4700.251294413746
CCN(CC)c1ccc2c(OC(=O)C(=C2C#N)c3sc4ccccc4n3)c1,375.453,4.787580000000005,109.374,27.0,6.0,0.0,6.0,4.0,134.0,4.0,0.0,0.0,4.0,70.13,159.6553004880973,1.9660880219539816,1212.9804095349436,0.0030000000001518
COc1cc(Cl)c(Cl)cc1OC,207.056,3.010600000000002,49.56600000000002,12.0,2.0,0.0,4.0,2.0,66.0,1.0,0.0,0.0,1.0,18.46,80.99491026106729,3.1904388012248366,257.63150377072884,71.99259362558587
[Zn++].[n-]1c2nc3[n-]c(nc4nc(nc5nc(nc1c6ccccc26)c7ccccc57)c8ccccc48)c9ccccc39,577.9260000000003,6.124900000000005,153.9919999999997,41.0,6.0,0.0,9.0,0.0,186.0,7.0,0.0,2.0,9.0,105.54,244.9640246012375,2.5599960348507047e-06,2192.8910969631343,0.0599999999946984
NC(=O)OCCCCCC,145.202,1.662,39.67740000000001,10.0,2.0,1.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,52.32000000000001,61.54386174077256,2.838589121813916,93.60689651177816,1745.712004353176
CCCCCCCCCCNCC(O)CO,231.38,2.0699,68.57230000000007,16.0,3.0,3.0,3.0,12.0,98.0,0.0,0.0,0.0,0.0,52.49,100.25688608858894,2.9312161038265176,131.10100153242138,179.60805784554674
ON(c1ccccc1)C(=O)c2ccccc2I,339.13199999999995,3.3272000000000017,74.19700000000002,17.0,2.0,1.0,4.0,2.0,86.0,2.0,0.0,0.0,2.0,40.54,112.78490558292236,2.3037464741242686,527.9524885546249,99.99280953956244
NC1=C2C=CC=NC2=C(S(=O)(=O)O)C=C1,224.241,1.0637,55.97000000000001,15.0,4.0,2.0,6.0,1.0,78.0,2.0,0.0,0.0,2.0,93.28,86.30124233923202,2.961958871524338,622.2901034889852,437.2351028943439
CNC(CC1=CC(O)=C(O)C=C1)C(=O)O,211.217,0.3128999999999996,53.95910000000002,15.0,4.0,4.0,5.0,4.0,82.0,1.0,0.0,0.0,1.0,89.79,86.98525711732327,2.796447192911556,364.4400629123248,20171.06690416896
NC1=C2C=CC=C(F)C2=NC2=C1C=CC=C2,212.227,3.109300000000001,63.61940000000003,16.0,2.0,1.0,3.0,0.0,78.0,3.0,0.0,0.0,3.0,38.91,91.51980626385286,2.60851239964224,691.8927302408441,4643.020861659417
CCOC=C,72.10700000000001,1.1664,21.823,5.0,1.0,0.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,9.23,32.258019568342,2.4017152226171965,24.82892142331044,9999.480255246528
[Na+].[Na+].[Cr].[Cr].Oc1ccc2ccccc2c1N\N=C/3C(=O)C=C(c4cc(ccc34)[N+]([O-])=O)[S](O)(=O)=O.Oc5ccc6ccccc6c5N\N=C/7C(=O)C=C(c8cc(ccc78)[N+]([O-])=O)[S]([O-])(=O)=O.Oc9ccc%10ccccc%10c9N\N=C/%11C(=O)C=C(c%12cc(ccc%11%12)[N+]([O-])=O)[S]([O-])(=O)=O,1466.1710000000005,2.5614000000000043,336.5017000000005,97.0,26.0,7.0,37.0,12.0,480.0,9.0,0.0,3.0,12.0,483.25999999999993,611.5984229205474,2.2519480085038885e-07,4880.082404970176,9.99999999920823
CCCCCCCCCCC(O)=O,186.295,3.6018000000000017,54.86280000000004,13.0,1.0,1.0,2.0,9.0,78.0,0.0,0.0,0.0,0.0,37.3,81.34442802403544,2.8729187591669154,121.2586863990795,52.20368962884062
[H+].[Cl-].NNc1ccc(cc1)[S](N)(=O)=O,223.685,-3.2638999999999987,46.73730000000001,13.0,4.0,3.0,7.0,2.0,74.0,1.0,0.0,0.0,1.0,98.20999999999998,84.02985023182544,0.0,367.1679360709388,144000.0000011876
